Entity,Code,Year,"Age-standardized deaths that are from malignant neoplasms per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from cardiovascular diseases per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from respiratory infections per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from infectious and parasitic diseases per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from digestive diseases per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from unintentional injuries per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from intentional injuries per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from neuropsychiatric conditions per 100,000 people, in both sexes aged all ages","Age-standardized deaths that are from respiratory diseases per 100,000 people, in both sexes aged all ages"
Armenia,ARM,1986,101.65236,382.3387,29.291592,13.35109,26.384378,32.77125,3.5777662,5.6101565,58.602463
Armenia,ARM,1987,109.891075,387.3951,24.701391,15.890403,26.813375,37.417694,4.7054763,6.042422,48.459938
Armenia,ARM,1988,111.17702,401.34216,25.959356,12.185702,25.39803,517.1959,4.796292,6.388433,47.17778
Armenia,ARM,1989,113.23124,423.02716,21.140047,13.132535,24.376797,60.256,5.7363925,5.318848,43.50241
Armenia,ARM,1990,122.13955,424.95636,18.153997,12.855472,26.581459,46.85947,9.263205,5.398968,43.478256
Armenia,ARM,1991,113.65359,421.83612,13.432588,11.995018,27.402369,42.104862,9.464615,6.5662017,36.743923
Armenia,ARM,1992,109.606766,451.3178,16.01609,14.65833,27.956343,39.328793,28.469238,6.6997046,35.76607
Armenia,ARM,1993,103.33107,479.2473,15.86258,12.043585,31.068537,48.361874,10.925407,11.590813,43.10992
Armenia,ARM,1994,89.93431,411.10696,13.658037,10.49206,29.804228,56.85189,8.111397,8.509018,36.03052
Armenia,ARM,1995,95.42001,420.88538,13.366952,11.125987,25.866024,31.629456,7.9882994,8.966403,35.583954
Armenia,ARM,1996,101.094185,405.86325,14.569646,10.215607,26.003626,24.27231,5.4796433,7.9880886,36.990185
Armenia,ARM,1997,97.70356,376.59076,11.25901,11.172525,24.70846,22.191572,4.5789075,7.1952796,32.27772
Armenia,ARM,1998,100.820984,350.21832,9.038321,10.1110735,22.067799,20.2678,4.275738,6.0813246,26.343746
